Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
54,"N Hu, D Zhang, K Xie, W Liang, MY Hsieh",Graph learning-based spatial-temporal graph convolutional neural networks for traffic forecasting,56,2022, Taylor & Francis, Connection Science,https://www.tandfonline.com/doi/abs/10.1080/09540091.2021.2006607,14
57,"D Iskandaryan, F Ramos, S Trilles",Graph neural network for air quality prediction: A case study in madrid,38,2023, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/10005808/,13
88,"P Shang, X Liu, C Yu, G Yan, Q Xiang, X Mi",A new ensemble deep graph reinforcement learning network for spatio-temporal traffic volume forecasting in a freeway network,48,2022, Elsevier, Digital Signal Processing,https://www.sciencedirect.com/science/article/pii/S1051200422000367,12
36,"Z Xie, W Lv, S Huang, Z Lu, B Du, R Huang",Sequential graph neural network for urban road traffic speed prediction,80,2019, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/8708297/,11
94,"S Sun, R Huang, Y Gao",Network-scale traffic modeling and forecasting with graphical lasso and neural networks,148,2012, ascelibrary.org, Journal of Transportation Engineering,https://ascelibrary.org/doi/abs/10.1061/(ASCE)TE.1943-5436.0000435,11
19,"A Roy, KK Roy, AA Ali, MA Amin…",Unified spatio-temporal modeling for traffic forecasting using graph neural network,51,2021, ieeexplore.ieee.org, … on Neural Networks  …,https://ieeexplore.ieee.org/abstract/document/9533319/,10
18,"Y Zhang, X Dong, L Shang, D Zhang…",A multi-modal graph neural network approach to traffic risk forecasting in smart urban sensing,57,2020, ieeexplore.ieee.org, 2020 17th Annual IEEE …,https://ieeexplore.ieee.org/abstract/document/9158447/,10
85,"Y Lu, H Ding, S Ji, NN Sze, Z He",Dual attentive graph neural network for metro passenger flow prediction,47,2021, Springer, Neural Computing and Applications,https://link.springer.com/article/10.1007/s00521-021-05966-z,9
4,"SF Ahmed, SA Kuldeep, SJ Rafa, J Fazal, M Hoque…",Enhancement of traffic forecasting through graph neural network-based information fusion techniques,16,2024, Elsevier,,https://www.sciencedirect.com/science/article/pii/S1566253524002446,8
100,"Y Chen, T Shu, X Zhou, X Zheng…",Graph attention network with spatial-temporal clustering for traffic flow forecasting in intelligent transportation system,32,2022, ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/9912369/,8
11,"Y Huang, X Song, S Zhang…",Transfer learning in traffic prediction with graph neural networks,41,2021, ieeexplore.ieee.org, 2021 IEEE International …,https://ieeexplore.ieee.org/abstract/document/9564890/,8
45,"J Choi, N Park",Graph neural rough differential equations for traffic forecasting,20,2023, dl.acm.org, ACM Transactions on Intelligent Systems and …,https://dl.acm.org/doi/abs/10.1145/3604808,7
93,"F Chen, Z Chen, S Biswas, S Lei…",Graph convolutional networks with kalman filtering for traffic prediction,39,2020, dl.acm.org, Proceedings of the 28th …,https://dl.acm.org/doi/abs/10.1145/3397536.3422257,6
73,"Y Zhang, M Lu, H Li",Urban traffic flow forecast based on FastGCRNN,35,2020, Wiley Online Library, Journal of Advanced Transportation,https://onlinelibrary.wiley.com/doi/abs/10.1155/2020/8859538,6
52,A Agafonov,Traffic flow prediction using graph convolution neural networks,37,2020, ieeexplore.ieee.org, … on information science and technology (ICIST),https://ieeexplore.ieee.org/abstract/document/9201971/,6
81,"H Li, S Zhang, X Li, L Su, H Huang, D Jin…",Detectornet: Transformer-enhanced spatial temporal graph neural network for traffic prediction,26,2021, dl.acm.org, Proceedings of the 29th …,https://dl.acm.org/doi/abs/10.1145/3474717.3483920,5
49,"M Nazzal, A Khreishah, J Lee, S Angizi…",Semi-decentralized inference in heterogeneous graph neural networks for traffic demand forecasting: An edge-computing approach,10,2024, ieeexplore.ieee.org, IEEE Transactions …,https://ieeexplore.ieee.org/abstract/document/10409531/,5
10,"J Rico, J Barateiro, A Oliveira",Graph neural networks for traffic forecasting,18,2021, arxiv.org, arXiv preprint arXiv:2104.13096,https://arxiv.org/abs/2104.13096,4
91,"B Shahsavari, P Abbeel",Short-term traffic forecasting: Modeling and learning spatio-temporal relations in transportation networks using graph neural networks,34,2015, eecs.berkeley.edu, … at Berkeley  Technical Report No. UCB …,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2015/EECS-2015-243.pdf,3
78,"Y Shen, L Li, Q Xie, X Li, G Xu",A two-tower spatial-temporal graph neural network for traffic speed prediction,13,2022, Springer, … on Knowledge Discovery and Data Mining,https://link.springer.com/chapter/10.1007/978-3-031-05933-9_32,3
58,"J Chen, L Yang, Y Yang, L Peng…",Spatio-temporal graph neural networks for missing data completion in traffic prediction,3,2025, Taylor & Francis, International Journal of …,https://www.tandfonline.com/doi/abs/10.1080/13658816.2024.2381221,3
83,"DT Nguyen, MDT Nguyen, TS Hy, R Kondor",Fast temporal wavelet graph neural networks,6,2023, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2302.08643,2
90,"L Qin, H Gu, W Wei, Z Xiao, Z Lin, L Liu, N Wang",Spatio-temporal communication network traffic prediction method based on graph neural network,2,2024, Elsevier, Information Sciences,https://www.sciencedirect.com/science/article/pii/S0020025524009174,1
33,Y Wang,Graph neural network in traffic forecasting: A review,7,2021, dl.acm.org, Proceedings of the 2021 3rd International Conference …,https://dl.acm.org/doi/abs/10.1145/3475851.3475864,1
